Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2020-02-14,2020,2,14,Friday,06,2020-06,285.97,293.15,284.01,291.6,780600.0,288.4,0.019473492076231835,276.9392857142853,283.5608
2020-02-18,2020,2,18,Tuesday,07,2020-07,293.24,297.21,291.87,295.78,873800.0,292.54,0.014334710213846025,277.7592857142853,283.7668
2020-02-19,2020,2,19,Wednesday,07,2020-07,297.99,301.77,295.39,297.1,1176000.0,293.84,0.004462843851791076,278.58071428571384,283.9816
2020-02-20,2020,2,20,Thursday,07,2020-07,362.03,381.86,356.96,373.16,5009700.0,369.07,0.256008041047729,284.9928571428567,285.707
2020-02-21,2020,2,21,Friday,07,2020-07,366.01,374.0,362.97,371.96,1645000.0,367.88,-0.0032158347634293483,291.3657142857138,287.4126
2020-02-24,2020,2,24,Monday,08,2020-08,355.51,366.89,354.63,363.01,1221900.0,359.03,-0.024061563358300897,297.883571428571,288.9634
2020-02-25,2020,2,25,Tuesday,08,2020-08,363.71,379.58,363.71,368.66,2437000.0,364.62,0.015564171575724206,304.613571428571,290.4606
2020-02-26,2020,2,26,Wednesday,08,2020-08,371.87,377.33,366.38,366.67,1107200.0,362.65,-0.005397834153780368,310.87714285714236,291.8456
2020-02-27,2020,2,27,Thursday,08,2020-08,361.05,361.05,347.73,347.86,1090800.0,344.04,-0.05129954626098909,315.71214285714234,292.8924
2020-02-28,2020,2,28,Friday,08,2020-08,341.1,345.72,333.91,339.46,2077600.0,335.74,-0.024147710011046097,320.2299999999995,293.8282
2020-03-02,2020,3,2,Monday,09,2020-09,340.22,348.52,333.79,347.52,863600.0,343.71,0.023743653548849775,325.36357142857094,294.9314
2020-03-03,2020,3,3,Tuesday,09,2020-09,349.48,350.0,336.19,339.47,846700.0,335.75,-0.02316420007461839,329.8649999999995,296.0224
2020-03-04,2020,3,4,Wednesday,09,2020-09,341.95,345.86,334.23,341.89,740900.0,338.14,0.007128776263553682,334.16428571428526,297.00919999999996
2020-03-05,2020,3,5,Thursday,09,2020-09,338.18,340.59,329.16,333.03,828400.0,329.38,-0.02591474847378339,337.48499999999956,297.82079999999996
2020-03-06,2020,3,6,Friday,09,2020-09,325.36,337.23,320.75,336.41,853400.0,332.72,0.010149228618413941,340.6507142857139,298.77299999999997
2020-03-09,2020,3,9,Monday,10,2020-10,321.56,340.18,314.0,336.67,1267600.0,332.98,0.0007729364559465601,343.5392857142853,299.7034
2020-03-10,2020,3,10,Tuesday,10,2020-10,337.79,347.32,328.5,343.95,857100.0,340.18,0.021623489311937805,346.8492857142854,300.72639999999996
2020-03-11,2020,3,11,Wednesday,10,2020-10,338.3,344.72,332.03,332.66,889500.0,329.01,-0.032824706405946924,343.9878571428568,301.52459999999996
2020-03-12,2020,3,12,Thursday,10,2020-10,308.02,329.62,300.0,317.11,1139300.0,314.37,-0.04450394600003482,340.16571428571393,302.0114
2020-03-13,2020,3,13,Friday,10,2020-10,328.39,329.08,297.32,316.63,1208600.0,313.89,-0.00151370052843125,336.9414285714283,302.47799999999995
2020-03-16,2020,3,16,Monday,11,2020-11,297.43,311.53,283.6,286.32,1089100.0,283.85,-0.09572674634529732,331.1721428571426,302.35139999999996
2020-03-17,2020,3,17,Tuesday,11,2020-11,291.64,314.96,282.03,298.74,1183400.0,296.16,0.04337794483197577,326.4228571428569,302.44579999999996
2020-03-18,2020,3,18,Wednesday,11,2020-11,296.54,303.87,275.22,290.0,1098800.0,287.49,-0.02925622134061523,322.38357142857114,302.381
2020-03-19,2020,3,19,Thursday,11,2020-11,292.0,337.22,289.34,323.14,1423000.0,320.35,0.11427604852056406,321.2842857142855,303.015
